*EVALUATION : PASA1701BN PALMIRA_ANALISIS SENSIBILIDAD                                DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 13:37:20

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
  17 PASA1701BN     1  1 BN      23     -99      25     -99      34     -99      55     -99    1897     -99    2440     -99     599     -99  0.3167     -99    4.30     -99    2841     -99     940     -99    1.46     -99   0.668     -99   77.74     -99      73     -99      87     -99       4     -99    3.83     -99     340     -99      11     -99    5.42     -99    2.73     -99    0.31     -99      62     -99       5     -99
  18 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1845     -99    2392     -99     618     -99  0.2987     -99    4.30     -99    2834     -99     990     -99    1.46     -99   0.651     -99   77.12     -99      70     -99      86     -99       4     -99    3.81     -99     357     -99      11     -99    5.50     -99    2.77     -99    0.32     -99      61     -99       5     -99
  19 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      53     -99    1867     -99    2397     -99     588     -99  0.3174     -99    4.30     -99    2856     -99     990     -99    1.52     -99   0.654     -99   77.90     -99      71     -99      87     -99       4     -99    3.82     -99     379     -99      12     -99    5.64     -99    2.80     -99    0.34     -99      60     -99       5     -99
  20 PASA1701BN     1  1 BN      23     -99      26     -99      34     -99      55     -99    1891     -99    2438     -99     616     -99  0.3072     -99    4.30     -99    2835     -99     940     -99    1.45     -99   0.667     -99   77.56     -99      72     -99      87     -99       4     -99    3.82     -99     337     -99      11     -99    5.39     -99    2.77     -99    0.31     -99      62     -99       5     -99
  21 PASA1701BN     1  1 BN      23     -99      25     -99      34     -99      55     -99    1931     -99    2478     -99     617     -99  0.3129     -99    4.30     -99    2876     -99     940     -99    1.45     -99   0.671     -99   77.91     -99      74     -99      88     -99       4     -99    3.82     -99     338     -99      11     -99    5.36     -99    2.75     -99    0.32     -99      62     -99       5     -99
  22 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1965     -99    2547     -99     645     -99  0.3046     -99    4.30     -99    2995     -99    1030     -99    1.54     -99   0.656     -99   77.16     -99      75     -99      91     -99       4     -99    3.81     -99     380     -99      12     -99    5.61     -99    2.79     -99    0.34     -99      61     -99       5     -99
  23 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      55     -99    1937     -99    2466     -99     603     -99  0.3213     -99    4.30     -99    2884     -99     950     -99    1.46     -99   0.672     -99   78.55     -99      73     -99      88     -99       4     -99    3.79     -99     356     -99      11     -99    5.51     -99    2.75     -99    0.32     -99      62     -99       5     -99
  24 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      53     -99    1894     -99    2469     -99     640     -99  0.2961     -99    4.30     -99    2918     -99    1020     -99    1.54     -99   0.649     -99   76.69     -99      72     -99      89     -99       4     -99    3.82     -99     386     -99      12     -99    5.64     -99    2.78     -99    0.33     -99      60     -99       5     -99
  25 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1913     -99    2482     -99     636     -99  0.3006     -99    4.30     -99    2918     -99    1010     -99    1.51     -99   0.655     -99   77.06     -99      73     -99      89     -99       4     -99    3.83     -99     370     -99      12     -99    5.61     -99    2.75     -99    0.34     -99      61     -99       5     -99
  26 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1934     -99    2526     -99     656     -99  0.2949     -99    4.30     -99    2968     -99    1030     -99    1.54     -99   0.652     -99   76.54     -99      74     -99      90     -99       4     -99    3.84     -99     392     -99      12     -99    5.65     -99    2.76     -99    0.34     -99      61     -99       5     -99
  27 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1936     -99    2528     -99     662     -99  0.2923     -99    4.30     -99    2974     -99    1040     -99    1.56     -99   0.651     -99   76.60     -99      74     -99      90     -99       4     -99    3.80     -99     369     -99      12     -99    5.56     -99    2.79     -99    0.33     -99      61     -99       5     -99
  28 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1929     -99    2485     -99     621     -99  0.3105     -99    4.30     -99    2908     -99     980     -99    1.51     -99   0.663     -99   77.61     -99      73     -99      89     -99       4     -99    3.81     -99     361     -99      11     -99    5.52     -99    2.76     -99    0.32     -99      61     -99       5     -99
  29 PASA1701BN     1  1 BN      23     -99      25     -99      34     -99      55     -99    2013     -99    2582     -99     629     -99  0.3199     -99    4.30     -99    3004     -99     990     -99    1.50     -99   0.670     -99   77.96     -99      77     -99      92     -99       4     -99    3.81     -99     360     -99      11     -99    5.46     -99    2.76     -99    0.31     -99      62     -99       5     -99
  30 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1978     -99    2569     -99     670     -99  0.2952     -99    4.30     -99    3059     -99    1080     -99    1.54     -99   0.647     -99   76.99     -99      77     -99      93     -99       5     -99    3.89     -99     382     -99      12     -99    5.54     -99    2.68     -99    0.32     -99      61     -99       5     -99
  31 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      53     -99    1884     -99    2433     -99     619     -99  0.3043     -99    4.30     -99    2878     -99     990     -99    1.54     -99   0.654     -99   77.42     -99      72     -99      87     -99       4     -99    3.82     -99     384     -99      12     -99    5.64     -99    2.79     -99    0.34     -99      60     -99       5     -99
  32 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1998     -99    2605     -99     683     -99  0.2926     -99    4.30     -99    3088     -99    1090     -99    1.57     -99   0.647     -99   76.68     -99      78     -99      94     -99       5     -99    3.88     -99     389     -99      12     -99    5.61     -99    2.71     -99    0.33     -99      61     -99       5     -99
  33 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    1974     -99    2548     -99     650     -99  0.3038     -99    4.30     -99    3015     -99    1040     -99    1.68     -99   0.655     -99   77.49     -99      75     -99      91     -99       4     -99    3.82     -99     422     -99      13     -99    5.86     -99    2.77     -99    0.36     -99      62     -99       5     -99
  34 PASA1701BN     2  1 BN      25     -99      27     -99      35     -99      56     -99    1899     -99    2468     -99     637     -99  0.2980     -99    4.30     -99    2917     -99    1020     -99    1.59     -99   0.651     -99   76.95     -99      73     -99      88     -99       4     -99    3.82     -99     418     -99      13     -99    5.88     -99    2.77     -99    0.35     -99      63     -99       5     -99
